tag,phase,model,dataset,level,axis,treatment,seed,val_acc,val_acc_mean,val_acc_std,n_seeds,psnr_mean,psnr_std,ssim_mean,ssim_std,epochs_run,runtime_s,status
final_B2_L3_resnet50_cifar10,B2,resnet50,cifar10,3,,T3,42,0.4147999882698059,0.41093332568804425,0.0045146656894384084,3,15.241291046142578,1.7207525968551636,0.6733287572860718,0.0791633203625679,15,699.344000000041,Complete
final_B2_L3_resnet50_mnist,B2,resnet50,mnist,3,,T3,42,0.8547999858856201,0.848800003528595,0.004898965080137711,3,13.048843383789062,1.54022216796875,0.5855075120925903,0.07740084081888199,51,2412.8599999998696,Complete
final_B2_L3_transnext_tiny_cifar10,B2,transnext_tiny,cifar10,3,,T3,42,0.4641999900341034,0.46433332562446594,0.0001885650002377399,3,15.241291046142578,1.7207525968551636,0.6733287572860718,0.0791633203625679,19,3329.969000000041,Complete
final_B2_L3_transnext_tiny_mnist,B2,transnext_tiny,mnist,3,,T3,42,0.8537999987602234,0.8566666642824808,0.002456728754936912,3,13.048843383789062,1.54022216796875,0.5855075120925903,0.07740084081888199,15,2635.6409999998286,Complete
final_B2_L4_densenet121_cifar10,B2,densenet121,cifar10,4,,T3,42,0.34700000286102295,,,1,14.175460815429688,1.855690598487854,0.6517089605331421,0.08579031378030777,25,1605.5310000001919,Complete
final_B2_L4_densenet121_mnist,B2,densenet121,mnist,4,,T3,42,0.6629999876022339,,,1,11.414421081542969,1.375131368637085,0.4903733730316162,0.08534227311611176,23,1488.030999999959,Complete
final_B2_L4_resnet50_cifar10,B2,resnet50,cifar10,4,,T3,42,0.32659998536109924,,,1,14.175460815429688,1.855690598487854,0.6517089605331421,0.08579031378030777,17,821.8589999999385,Complete
final_B2_L4_resnet50_mnist,B2,resnet50,mnist,4,,T3,42,0.6299999952316284,,,1,11.414421081542969,1.375131368637085,0.4903733730316162,0.08534227311611176,16,778.5629999998491,Complete
final_B2_L4_transnext_tiny_cifar10,B2,transnext_tiny,cifar10,4,,T3,42,0.3646000027656555,,,1,14.175460815429688,1.855690598487854,0.6517089605331421,0.08579031378030777,19,3350.53199999989,Complete
final_B2_L4_transnext_tiny_mnist,B2,transnext_tiny,mnist,4,,T3,42,0.652400016784668,,,1,11.414421081542969,1.375131368637085,0.4903733730316162,0.08534227311611176,20,3541.344000000041,Complete
final_B2_L5_densenet121_cifar10,B2,densenet121,cifar10,5,,T3,42,0.24879999458789825,,,1,12.39627456665039,2.4960403442382812,0.6237173676490784,0.10801724344491959,24,1602.53199999989,Complete
final_B2_L5_densenet121_mnist,B2,densenet121,mnist,5,,T3,42,0.3522000014781952,,,1,9.603363990783691,2.4242351055145264,0.41941672563552856,0.12054192274808884,47,3153.155999999959,Complete
