tag,model,dataset,phase,level,axis,regularization,seed,val_acc,psnr_mean,psnr_std,ssim_mean,ssim_std,val_acc_mean,val_acc_std,n_seeds
final_C2_L4_salt_pepper_densenet121_mnist,densenet121,mnist,C2,4,salt_pepper,T3,42,0.9908000230789185,13.237933158874512,0.5960448384284973,0.6629997491836548,0.03421453759074211,,,1
final_C2_L4_salt_pepper_resnet50_cifar10,resnet50,cifar10,C2,4,salt_pepper,T3,42,0.7785999774932861,14.28207778930664,0.8443660140037537,0.5158904790878296,0.04409470409154892,,,1
final_C2_L4_salt_pepper_resnet50_mnist,resnet50,mnist,C2,4,salt_pepper,T3,42,0.9900000095367432,13.237933158874512,0.5960448384284973,0.6629997491836548,0.03421453759074211,,,1
final_C2_L4_salt_pepper_transnext_tiny_cifar10,transnext_tiny,cifar10,C2,4,salt_pepper,T3,42,0.9156000018119812,14.28207778930664,0.8443660140037537,0.5158904790878296,0.04409470409154892,,,1
final_C2_L4_salt_pepper_transnext_tiny_mnist,transnext_tiny,mnist,C2,4,salt_pepper,T3,42,0.9908000230789185,13.237933158874512,0.5960448384284973,0.6629997491836548,0.03421453759074211,,,1
final_C2_L5_blur_densenet121_cifar10,densenet121,cifar10,C2,5,blur,T3,42,0.6460000276565552,18.92420768737793,2.455846071243286,0.7531248927116394,0.08408302813768387,,,1
final_C2_L5_blur_densenet121_mnist,densenet121,mnist,C2,5,blur,T3,42,0.991599977016449,15.503748893737793,1.253564476966858,0.4959403872489929,0.08473744988441467,,,1
final_C2_L5_blur_resnet50_cifar10,resnet50,cifar10,C2,5,blur,T3,42,0.5875999927520752,18.92420768737793,2.455846071243286,0.7531248927116394,0.08408302813768387,,,1
final_C2_L5_blur_resnet50_mnist,resnet50,mnist,C2,5,blur,T3,42,0.9886000156402588,15.503748893737793,1.253564476966858,0.4959403872489929,0.08473744988441467,,,1
final_C2_L5_blur_transnext_tiny_cifar10,transnext_tiny,cifar10,C2,5,blur,T3,42,0.7103999853134155,18.92420768737793,2.455846071243286,0.7531248927116394,0.08408302813768387,,,1
final_C2_L5_blur_transnext_tiny_mnist,transnext_tiny,mnist,C2,5,blur,T3,42,0.9905999898910522,15.503748893737793,1.253564476966858,0.4959403872489929,0.08473744988441467,,,1
final_C2_L5_resolution_densenet121_cifar10,densenet121,cifar10,C2,5,resolution,T3,42,0.30799999833106995,15.079986572265625,2.4907376766204834,0.6810494661331177,0.10804712772369385,,,1
final_C2_L5_resolution_densenet121_mnist,densenet121,mnist,C2,5,resolution,T3,42,0.45019999146461487,11.120914459228516,1.8049064874649048,0.5071371793746948,0.10736065357923508,,,1
final_C2_L5_resolution_resnet50_cifar10,resnet50,cifar10,C2,5,resolution,T3,42,0.30160000920295715,15.079986572265625,2.4907376766204834,0.6810494661331177,0.10804712772369385,,,1
