tag,model,dataset,phase,level,axis,regularization,seed,val_acc,psnr_mean,psnr_std,ssim_mean,ssim_std,val_acc_mean,val_acc_std,n_seeds
final_C_L5_salt_pepper_transnext_tiny_mnist,transnext_tiny,mnist,C,5,salt_pepper,,42,0.9894000291824341,12.131567001342773,0.529333770275116,0.5962571501731873,0.034998033195734024,,,1
final_C_L5_saturation_densenet121_cifar10,densenet121,cifar10,C,5,saturation,,42,0.883400022983551,24.17316246032715,4.931709289550781,0.9357738494873047,0.04052618145942688,,,1
final_C_L5_saturation_densenet121_mnist,densenet121,mnist,C,5,saturation,,42,0.9914000034332275,32.357322692871094,1.6435201168060303,0.9630135297775269,0.010467649437487125,,,1
final_C_L5_saturation_resnet50_cifar10,resnet50,cifar10,C,5,saturation,,42,0.8822000026702881,24.17316246032715,4.931709289550781,0.9357738494873047,0.04052618145942688,,,1
final_C_L5_saturation_resnet50_mnist,resnet50,mnist,C,5,saturation,,42,0.9909999966621399,32.357322692871094,1.6435201168060303,0.9630135297775269,0.010467649437487125,,,1
final_C_L5_saturation_transnext_tiny_cifar10,transnext_tiny,cifar10,C,5,saturation,,42,0.9534000158309937,24.17316246032715,4.931709289550781,0.9357738494873047,0.04052618145942688,,,1
final_C_L5_saturation_transnext_tiny_mnist,transnext_tiny,mnist,C,5,saturation,,42,0.9904000163078308,32.357322692871094,1.6435201168060303,0.9630135297775269,0.010467649437487125,,,1
final_D_T1_L1_densenet121_cifar10,densenet121,cifar10,D,1,,T1,42,0.7674000263214111,21.22579002380371,1.544506311416626,0.8010480403900146,0.04082350432872772,,,1
final_D_T1_L1_densenet121_mnist,densenet121,mnist,D,1,,T1,42,0.9890000224113464,19.555505752563477,1.7537661790847778,0.5766915678977966,0.03037792257964611,,,1
final_D_T1_L1_resnet50_cifar10,resnet50,cifar10,D,1,,T1,42,0.7644000053405762,21.22579002380371,1.544506311416626,0.8010480403900146,0.04082350432872772,,,1
final_D_T1_L1_resnet50_mnist,resnet50,mnist,D,1,,T1,42,0.9850000143051147,19.555505752563477,1.7537661790847778,0.5766915678977966,0.03037792257964611,,,1
final_D_T1_L1_transnext_tiny_cifar10,transnext_tiny,cifar10,D,1,,T1,42,0.8845999836921692,21.22579002380371,1.544506311416626,0.8010480403900146,0.04082350432872772,,,1
final_D_T1_L1_transnext_tiny_mnist,transnext_tiny,mnist,D,1,,T1,42,0.9891999959945679,19.555505752563477,1.7537661790847778,0.5766915678977966,0.03037792257964611,,,1
final_D_T1_L2_densenet121_cifar10,densenet121,cifar10,D,2,,T1,42,0.5432000160217285,17.543922424316406,1.3167108297348022,0.6972057819366455,0.05896536260843277,,,1
final_D_T1_L2_densenet121_mnist,densenet121,mnist,D,2,,T1,42,0.9682000279426575,15.496427536010742,1.3028600215911865,0.42281824350357056,0.03856607526540756,,,1
final_D_T1_L2_resnet50_cifar10,resnet50,cifar10,D,2,,T1,42,0.52920001745224,17.543922424316406,1.3167108297348022,0.6972057819366455,0.05896536260843277,,,1
final_D_T1_L2_resnet50_mnist,resnet50,mnist,D,2,,T1,42,0.9616000056266785,15.496427536010742,1.3028600215911865,0.42281824350357056,0.03856607526540756,,,1
final_D_T1_L2_transnext_tiny_cifar10,transnext_tiny,cifar10,D,2,,T1,42,0.6696000099182129,17.543922424316406,1.3167108297348022,0.6972057819366455,0.05896536260843277,,,1
final_D_T1_L2_transnext_tiny_mnist,transnext_tiny,mnist,D,2,,T1,42,0.9603999853134155,15.496427536010742,1.3028600215911865,0.42281824350357056,0.03856607526540756,,,1
final_D_T1_L3_densenet121_cifar10,densenet121,cifar10,D,3,,T1,42,0.39320001006126404,14.874027252197266,1.4139035940170288,0.6350591778755188,0.07825718075037003,,,1
final_D_T1_L3_densenet121_mnist,densenet121,mnist,D,3,,T1,42,0.8073999881744385,12.576668739318848,1.3035645484924316,0.3175475597381592,0.04275445640087128,,,1
final_D_T1_L3_resnet50_cifar10,resnet50,cifar10,D,3,,T1,42,0.35179999470710754,14.874027252197266,1.4139035940170288,0.6350591778755188,0.07825718075037003,,,1
final_D_T1_L3_resnet50_mnist,resnet50,mnist,D,3,,T1,42,0.796999990940094,12.576668739318848,1.3035645484924316,0.3175475597381592,0.04275445640087128,,,1
final_D_T1_L3_transnext_tiny_cifar10,transnext_tiny,cifar10,D,3,,T1,42,0.4235999882221222,14.874027252197266,1.4139035940170288,0.6350591778755188,0.07825718075037003,,,1
final_D_T1_L3_transnext_tiny_mnist,transnext_tiny,mnist,D,3,,T1,42,0.8022000193595886,12.576668739318848,1.3035645484924316,0.3175475597381592,0.04275445640087128,,,1
final_D_T1_L4_densenet121_cifar10,densenet121,cifar10,D,4,,T1,42,0.2964000105857849,13.097561836242676,1.4104716777801514,0.6013230085372925,0.08745517581701279,,,1
final_D_T1_L4_densenet121_mnist,densenet121,mnist,D,4,,T1,42,0.5756000280380249,10.897726058959961,1.3057552576065063,0.24776911735534668,0.04829176515340805,,,1
final_D_T1_L4_resnet50_cifar10,resnet50,cifar10,D,4,,T1,42,0.2709999978542328,13.097561836242676,1.4104716777801514,0.6013230085372925,0.08745517581701279,,,1
final_D_T1_L4_resnet50_mnist,resnet50,mnist,D,4,,T1,42,0.5562000274658203,10.897726058959961,1.3057552576065063,0.24776911735534668,0.04829176515340805,,,1
final_D_T1_L4_transnext_tiny_cifar10,transnext_tiny,cifar10,D,4,,T1,42,0.28439998626708984,13.097561836242676,1.4104716777801514,0.6013230085372925,0.08745517581701279,,,1
final_D_T1_L4_transnext_tiny_mnist,transnext_tiny,mnist,D,4,,T1,42,0.5893999934196472,10.897726058959961,1.3057552576065063,0.24776911735534668,0.04829176515340805,,,1
final_D_T1_L5_densenet121_cifar10,densenet121,cifar10,D,5,,T1,42,0.2011999934911728,10.847352027893066,1.8062080144882202,0.5662043690681458,0.10978245735168457,,,1
final_D_T1_L5_densenet121_mnist,densenet121,mnist,D,5,,T1,42,0.27959999442100525,9.024060249328613,1.961860179901123,0.2465682029724121,0.07177931815385818,,,1
final_D_T1_L5_resnet50_cifar10,resnet50,cifar10,D,5,,T1,42,0.18639999628067017,10.847352027893066,1.8062080144882202,0.5662043690681458,0.10978245735168457,,,1
final_D_T1_L5_resnet50_mnist,resnet50,mnist,D,5,,T1,42,0.28139999508857727,9.024060249328613,1.961860179901123,0.2465682029724121,0.07177931815385818,,,1
final_D_T1_L5_transnext_tiny_cifar10,transnext_tiny,cifar10,D,5,,T1,42,0.19660000503063202,10.847352027893066,1.8062080144882202,0.5662043690681458,0.10978245735168457,,,1
final_D_T1_L5_transnext_tiny_mnist,transnext_tiny,mnist,D,5,,T1,42,0.27619999647140503,9.024060249328613,1.961860179901123,0.2465682029724121,0.07177931815385818,,,1
final_D_T2_L1_densenet121_cifar10,densenet121,cifar10,D,1,,T2,42,0.7663999795913696,21.22579002380371,1.544506311416626,0.8010480403900146,0.04082350432872772,,,1
final_D_T2_L1_densenet121_mnist,densenet121,mnist,D,1,,T2,42,0.9905999898910522,19.555505752563477,1.7537661790847778,0.5766915678977966,0.03037792257964611,,,1
final_D_T2_L1_resnet50_cifar10,resnet50,cifar10,D,1,,T2,42,0.7811999917030334,21.22579002380371,1.544506311416626,0.8010480403900146,0.04082350432872772,,,1
final_D_T2_L1_resnet50_mnist,resnet50,mnist,D,1,,T2,42,0.9911999702453613,19.555505752563477,1.7537661790847778,0.5766915678977966,0.03037792257964611,,,1
final_D_T2_L1_transnext_tiny_cifar10,transnext_tiny,cifar10,D,1,,T2,42,0.8942000269889832,21.22579002380371,1.544506311416626,0.8010480403900146,0.04082350432872772,,,1
final_D_T2_L1_transnext_tiny_mnist,transnext_tiny,mnist,D,1,,T2,42,0.9918000102043152,19.555505752563477,1.7537661790847778,0.5766915678977966,0.03037792257964611,,,1
final_D_T2_L2_densenet121_cifar10,densenet121,cifar10,D,2,,T2,42,0.5576000213623047,17.543922424316406,1.3167108297348022,0.6972057819366455,0.05896536260843277,,,1
final_D_T2_L2_densenet121_mnist,densenet121,mnist,D,2,,T2,42,0.9617999792098999,15.496427536010742,1.3028600215911865,0.42281824350357056,0.03856607526540756,,,1
final_D_T2_L2_resnet50_cifar10,resnet50,cifar10,D,2,,T2,42,0.5275999903678894,17.543922424316406,1.3167108297348022,0.6972057819366455,0.05896536260843277,,,1
final_D_T2_L2_resnet50_mnist,resnet50,mnist,D,2,,T2,42,0.9624000191688538,15.496427536010742,1.3028600215911865,0.42281824350357056,0.03856607526540756,,,1
final_D_T2_L2_transnext_tiny_cifar10,transnext_tiny,cifar10,D,2,,T2,42,0.6525999903678894,17.543922424316406,1.3167108297348022,0.6972057819366455,0.05896536260843277,,,1
final_D_T2_L2_transnext_tiny_mnist,transnext_tiny,mnist,D,2,,T2,42,0.9702000021934509,15.496427536010742,1.3028600215911865,0.42281824350357056,0.03856607526540756,,,1
final_D_T2_L3_densenet121_cifar10,densenet121,cifar10,D,3,,T2,42,0.39160001277923584,14.874027252197266,1.4139035940170288,0.6350591778755188,0.07825718075037003,,,1
final_D_T2_L3_densenet121_mnist,densenet121,mnist,D,3,,T2,42,0.7983999848365784,12.576668739318848,1.3035645484924316,0.3175475597381592,0.04275445640087128,,,1
final_D_T2_L3_resnet50_cifar10,resnet50,cifar10,D,3,,T2,42,0.375,14.874027252197266,1.4139035940170288,0.6350591778755188,0.07825718075037003,,,1
final_D_T2_L3_resnet50_mnist,resnet50,mnist,D,3,,T2,42,0.7857999801635742,12.576668739318848,1.3035645484924316,0.3175475597381592,0.04275445640087128,,,1
final_D_T2_L3_transnext_tiny_cifar10,transnext_tiny,cifar10,D,3,,T2,42,0.42340001463890076,14.874027252197266,1.4139035940170288,0.6350591778755188,0.07825718075037003,,,1
final_D_T2_L3_transnext_tiny_mnist,transnext_tiny,mnist,D,3,,T2,42,0.8041999936103821,12.576668739318848,1.3035645484924316,0.3175475597381592,0.04275445640087128,,,1
final_D_T2_L4_densenet121_cifar10,densenet121,cifar10,D,4,,T2,42,0.29820001125335693,13.097561836242676,1.4104716777801514,0.6013230085372925,0.08745517581701279,,,1
final_D_T2_L4_densenet121_mnist,densenet121,mnist,D,4,,T2,42,0.5777999758720398,10.897726058959961,1.3057552576065063,0.24776911735534668,0.04829176515340805,,,1
final_D_T2_L4_resnet50_cifar10,resnet50,cifar10,D,4,,T2,42,0.28220000863075256,13.097561836242676,1.4104716777801514,0.6013230085372925,0.08745517581701279,,,1
final_D_T2_L4_resnet50_mnist,resnet50,mnist,D,4,,T2,42,0.5699999928474426,10.897726058959961,1.3057552576065063,0.24776911735534668,0.04829176515340805,,,1
final_D_T2_L4_transnext_tiny_cifar10,transnext_tiny,cifar10,D,4,,T2,42,0.298799991607666,13.097561836242676,1.4104716777801514,0.6013230085372925,0.08745517581701279,,,1
final_D_T2_L4_transnext_tiny_mnist,transnext_tiny,mnist,D,4,,T2,42,0.5595999956130981,10.897726058959961,1.3057552576065063,0.24776911735534668,0.04829176515340805,,,1
final_D_T2_L5_densenet121_cifar10,densenet121,cifar10,D,5,,T2,42,0.1972000002861023,10.847352027893066,1.8062080144882202,0.5662043690681458,0.10978245735168457,,,1
final_D_T2_L5_densenet121_mnist,densenet121,mnist,D,5,,T2,42,0.2802000045776367,9.024060249328613,1.961860179901123,0.2465682029724121,0.07177931815385818,,,1
final_D_T2_L5_resnet50_cifar10,resnet50,cifar10,D,5,,T2,42,0.1834000051021576,10.847352027893066,1.8062080144882202,0.5662043690681458,0.10978245735168457,,,1
final_D_T2_L5_resnet50_mnist,resnet50,mnist,D,5,,T2,42,0.2734000086784363,9.024060249328613,1.961860179901123,0.2465682029724121,0.07177931815385818,,,1
final_D_T2_L5_transnext_tiny_cifar10,transnext_tiny,cifar10,D,5,,T2,42,0.20020000636577606,10.847352027893066,1.8062080144882202,0.5662043690681458,0.10978245735168457,,,1
final_D_T2_L5_transnext_tiny_mnist,transnext_tiny,mnist,D,5,,T2,42,0.2752000093460083,9.024060249328613,1.961860179901123,0.2465682029724121,0.07177931815385818,,,1
final_D_T3_L1_densenet121_cifar10,densenet121,cifar10,D,1,,T3,42,0.7703999876976013,21.22579002380371,1.544506311416626,0.8010480403900146,0.04082350432872772,,,1
final_D_T3_L1_densenet121_mnist,densenet121,mnist,D,1,,T3,42,0.9929999709129333,19.555505752563477,1.7537661790847778,0.5766915678977966,0.03037792257964611,,,1
final_D_T3_L1_resnet50_cifar10,resnet50,cifar10,D,1,,T3,42,0.7911999821662903,21.22579002380371,1.544506311416626,0.8010480403900146,0.04082350432872772,,,1
final_D_T3_L1_resnet50_mnist,resnet50,mnist,D,1,,T3,42,0.989799976348877,19.555505752563477,1.7537661790847778,0.5766915678977966,0.03037792257964611,,,1
final_D_T3_L1_transnext_tiny_cifar10,transnext_tiny,cifar10,D,1,,T3,42,0.9028000235557556,21.22579002380371,1.544506311416626,0.8010480403900146,0.04082350432872772,,,1
final_D_T3_L1_transnext_tiny_mnist,transnext_tiny,mnist,D,1,,T3,42,0.9937999844551086,19.555505752563477,1.7537661790847778,0.5766915678977966,0.03037792257964611,,,1
final_D_T3_L2_densenet121_cifar10,densenet121,cifar10,D,2,,T3,42,0.5479999780654907,17.543922424316406,1.3167108297348022,0.6972057819366455,0.05896536260843277,,,1
final_D_T3_L2_densenet121_mnist,densenet121,mnist,D,2,,T3,42,0.9702000021934509,15.496427536010742,1.3028600215911865,0.42281824350357056,0.03856607526540756,,,1
final_D_T3_L2_resnet50_cifar10,resnet50,cifar10,D,2,,T3,42,0.5437999963760376,17.543922424316406,1.3167108297348022,0.6972057819366455,0.05896536260843277,,,1
final_D_T3_L2_resnet50_mnist,resnet50,mnist,D,2,,T3,42,0.9696000218391418,15.496427536010742,1.3028600215911865,0.42281824350357056,0.03856607526540756,,,1
final_D_T3_L2_transnext_tiny_cifar10,transnext_tiny,cifar10,D,2,,T3,42,0.6800000071525574,17.543922424316406,1.3167108297348022,0.6972057819366455,0.05896536260843277,,,1
final_D_T3_L2_transnext_tiny_mnist,transnext_tiny,mnist,D,2,,T3,42,0.9710000157356262,15.496427536010742,1.3028600215911865,0.42281824350357056,0.03856607526540756,,,1
final_D_T3_L3_densenet121_cifar10,densenet121,cifar10,D,3,,T3,42,0.39239999651908875,14.874027252197266,1.4139035940170288,0.6350591778755188,0.07825718075037003,0.3956000010172526,0.0022686290992707994,3
final_D_T3_L3_densenet121_mnist,densenet121,mnist,D,3,,T3,42,0.8172000050544739,12.576668739318848,1.3035645484924316,0.3175475597381592,0.04275445640087128,0.8148666620254517,0.0021561407571207567,3
final_D_T3_L3_resnet50_cifar10,resnet50,cifar10,D,3,,T3,42,0.367000013589859,14.874027252197266,1.4139035940170288,0.6350591778755188,0.07825718075037003,0.37273334463437396,0.004259366537565337,3
final_D_T3_L3_resnet50_mnist,resnet50,mnist,D,3,,T3,42,0.7979999780654907,12.576668739318848,1.3035645484924316,0.3175475597381592,0.04275445640087128,0.7985333204269409,0.0021561407571207567,3
final_D_T3_L3_transnext_tiny_cifar10,transnext_tiny,cifar10,D,3,,T3,42,0.4198000133037567,14.874027252197266,1.4139035940170288,0.6350591778755188,0.07825718075037003,0.4333333373069763,0.009611559683776128,3
final_D_T3_L3_transnext_tiny_mnist,transnext_tiny,mnist,D,3,,T3,42,0.8136000037193298,12.576668739318848,1.3035645484924316,0.3175475597381592,0.04275445640087128,0.8119999965031942,0.005027932857618719,3
final_D_T3_L4_densenet121_cifar10,densenet121,cifar10,D,4,,T3,42,0.2996000051498413,13.097561836242676,1.4104716777801514,0.6013230085372925,0.08745517581701279,,,1
final_D_T3_L4_densenet121_mnist,densenet121,mnist,D,4,,T3,42,0.5758000016212463,10.897726058959961,1.3057552576065063,0.24776911735534668,0.04829176515340805,,,1
final_D_T3_L4_resnet50_cifar10,resnet50,cifar10,D,4,,T3,42,0.27880001068115234,13.097561836242676,1.4104716777801514,0.6013230085372925,0.08745517581701279,,,1
final_D_T3_L4_resnet50_mnist,resnet50,mnist,D,4,,T3,42,0.5600000023841858,10.897726058959961,1.3057552576065063,0.24776911735534668,0.04829176515340805,,,1
final_D_T3_L4_transnext_tiny_cifar10,transnext_tiny,cifar10,D,4,,T3,42,0.2971999943256378,13.097561836242676,1.4104716777801514,0.6013230085372925,0.08745517581701279,,,1
final_D_T3_L4_transnext_tiny_mnist,transnext_tiny,mnist,D,4,,T3,42,0.5924000144004822,10.897726058959961,1.3057552576065063,0.24776911735534668,0.04829176515340805,,,1
final_D_T3_L5_densenet121_cifar10,densenet121,cifar10,D,5,,T3,42,0.19900000095367432,10.847352027893066,1.8062080144882202,0.5662043690681458,0.10978245735168457,,,1
final_D_T3_L5_densenet121_mnist,densenet121,mnist,D,5,,T3,42,0.272599995136261,9.024060249328613,1.961860179901123,0.2465682029724121,0.07177931815385818,,,1
final_D_T3_L5_resnet50_cifar10,resnet50,cifar10,D,5,,T3,42,0.1923999935388565,10.847352027893066,1.8062080144882202,0.5662043690681458,0.10978245735168457,,,1
final_D_T3_L5_resnet50_mnist,resnet50,mnist,D,5,,T3,42,0.2786000072956085,9.024060249328613,1.961860179901123,0.2465682029724121,0.07177931815385818,,,1
final_D_T3_L5_transnext_tiny_cifar10,transnext_tiny,cifar10,D,5,,T3,42,0.20419999957084656,10.847352027893066,1.8062080144882202,0.5662043690681458,0.10978245735168457,,,1
final_D_T3_L5_transnext_tiny_mnist,transnext_tiny,mnist,D,5,,T3,42,0.2793999910354614,9.024060249328613,1.961860179901123,0.2465682029724121,0.07177931815385818,,,1
final_clean_densenet121_cifar10,densenet121,cifar10,A,,,,42,0.9355999827384949,,,,,,,1
final_clean_densenet121_mnist,densenet121,mnist,A,,,,42,0.9929999709129333,,,,,,,1
final_clean_resnet50_cifar10,resnet50,cifar10,A,,,,42,0.9517999887466431,,,,,,,1
final_clean_resnet50_mnist,resnet50,mnist,A,,,,42,0.9914000034332275,,,,,,,1
final_clean_transnext_tiny_cifar10,transnext_tiny,cifar10,A,,,,42,0.9764000177383423,,,,,,,1
final_clean_transnext_tiny_mnist,transnext_tiny,mnist,A,,,,42,0.9923999905586243,,,,,,,1
