dataset,phase,level,axis,psnr_mean,psnr_std,ssim_mean,ssim_std,n_cells,max_psnr_deviation,max_ssim_deviation
mnist,B2nr,3,,13.048843383789062,1.54022216796875,0.5855075120925903,0.07740084081888199,3,0.0,0.0
cifar10,C,1,blur,41.982208251953125,2.542469024658203,0.9832876920700073,0.006734228227287531,3,0.0,0.0
cifar10,C,1,noise,28.600540161132812,0.41983097791671753,0.8405019640922546,0.020845919847488403,3,0.0,0.0
cifar10,C,1,resolution,30.781888961791992,2.695894718170166,0.9167695641517639,0.03476459160447121,3,0.0,0.0
cifar10,C,1,salt_pepper,21.655563354492188,1.1003608703613281,0.8584103584289551,0.023474643006920815,3,0.0,0.0
cifar10,C,1,saturation,36.44712829589844,2.3874619007110596,0.9746992588043213,0.009674963541328907,3,0.0,0.0
cifar10,C,2,blur,33.575157165527344,2.5864248275756836,0.9518495798110962,0.020485982298851013,3,0.0,0.0
cifar10,C,2,noise,23.339492797851562,0.36355552077293396,0.6418746709823608,0.03796744719147682,3,0.0,0.0
cifar10,C,2,resolution,25.328777313232422,2.6504807472229004,0.8454626798629761,0.05992923304438591,3,0.0,0.0
cifar10,C,2,salt_pepper,18.614337921142578,0.8729439973831177,0.7545133829116821,0.0316510945558548,3,0.0,0.0
cifar10,C,2,saturation,31.342334747314453,3.4164483547210693,0.9684880375862122,0.014231082983314991,3,0.0,0.0
cifar10,C,3,blur,27.223888397216797,2.535698890686035,0.8847867846488953,0.044936876744031906,3,0.0,0.0
cifar10,C,3,noise,20.11908531188965,0.4165133535861969,0.48854246735572815,0.04692786559462547,3,0.0,0.0
cifar10,C,3,resolution,21.754364013671875,2.637774705886841,0.7844178676605225,0.07898879796266556,3,0.0,0.0
cifar10,C,3,salt_pepper,16.383773803710938,0.7016091346740723,0.6348656415939331,0.03523065522313118,3,0.0,0.0
cifar10,C,3,saturation,27.94279670715332,4.2279229164123535,0.9583484530448914,0.022430675104260445,3,0.0,0.0
cifar10,C,4,blur,23.633243560791016,2.5236971378326416,0.8216713070869446,0.06562981009483337,3,0.0,0.0
cifar10,C,4,noise,17.870250701904297,0.43945324420928955,0.3810991048812866,0.049518898129463196,3,0.0,0.0
cifar10,C,4,resolution,19.420162200927734,2.6702418327331543,0.7452123761177063,0.09095361083745956,3,0.0,0.0
cifar10,C,4,salt_pepper,14.95685863494873,0.6035389304161072,0.5382793545722961,0.038013212382793427,3,0.0,0.0
cifar10,C,4,saturation,25.413484573364258,4.716719150543213,0.9450103044509888,0.03320080041885376,3,0.0,0.0
cifar10,C,5,blur,21.055660247802734,2.5229697227478027,0.7721232771873474,0.08173324167728424,3,0.0,0.0
cifar10,C,5,noise,15.49093246459961,0.42596572637557983,0.2772984504699707,0.04768216609954834,3,0.0,0.0
cifar10,C,5,resolution,15.875357627868652,2.8242347240448,0.6916051506996155,0.10936250537633896,3,0.0,0.0
cifar10,C,5,salt_pepper,13.879243850708008,0.5841748714447021,0.4559713900089264,0.040805231779813766,3,0.0,0.0
cifar10,C,5,saturation,24.17316246032715,4.931709289550781,0.9357738494873047,0.04052618145942688,3,0.0,0.0
mnist,C,1,blur,36.552574157714844,1.4881840944290161,0.9759203195571899,0.00622783787548542,3,0.0,0.0
mnist,C,1,noise,29.475852966308594,0.7353115081787109,0.6009330153465271,0.02735178731381893,3,0.0,0.0
mnist,C,1,resolution,27.17656898498535,1.5116242170333862,0.9269548654556274,0.01670055463910103,3,0.0,0.0
mnist,C,1,salt_pepper,19.863862991333008,1.1951278448104858,0.8879556059837341,0.02219664305448532,3,0.0,0.0
mnist,C,1,saturation,32.353492736816406,1.6432890892028809,0.9630127549171448,0.01046804804354906,3,0.0,0.0
mnist,C,2,blur,29.670940399169922,1.206032156944275,0.9390783309936523,0.012447412125766277,3,0.0,0.0
mnist,C,2,noise,25.3553524017334,0.2997320294380188,0.47979599237442017,0.03303335979580879,3,0.0,0.0
mnist,C,2,resolution,21.045900344848633,1.582413911819458,0.8473184704780579,0.03580872714519501,3,0.0,0.0
mnist,C,2,salt_pepper,16.933563232421875,0.9559600949287415,0.8195873498916626,0.029703263193368912,3,0.0,0.0
mnist,C,2,saturation,32.35470199584961,1.643362283706665,0.9630130529403687,0.01046779751777649,3,0.0,0.0
mnist,C,3,blur,22.34144401550293,1.198505163192749,0.8194273710250854,0.03654605522751808,3,0.0,0.0
mnist,C,3,noise,22.232688903808594,0.21163788437843323,0.41287311911582947,0.0333477258682251,3,0.0,0.0
mnist,C,3,resolution,16.37200164794922,1.229188084602356,0.7302846908569336,0.054802484810352325,3,0.0,0.0
mnist,C,3,salt_pepper,14.693042755126953,0.7135916352272034,0.7361297607421875,0.032651569694280624,3,0.0,0.0
mnist,C,3,saturation,32.355709075927734,1.6434228420257568,0.9630131721496582,0.010467806831002235,3,0.0,0.0
mnist,C,4,blur,18.180816650390625,1.1865705251693726,0.674399733543396,0.06240999698638916,3,0.0,0.0
mnist,C,4,noise,19.858911514282227,0.19559316337108612,0.3662882447242737,0.0320708230137825,3,0.0,0.0
mnist,C,4,resolution,13.894357681274414,1.1913337707519531,0.6452682018280029,0.06976152211427689,3,0.0,0.0
mnist,C,4,salt_pepper,13.237927436828613,0.5960397124290466,0.6630023717880249,0.034214358776807785,3,0.0,0.0
mnist,C,4,saturation,32.35671615600586,1.6434836387634277,0.9630134701728821,0.010467670857906342,3,0.0,0.0
mnist,C,5,blur,15.504034996032715,1.2535494565963745,0.49593642354011536,0.08473728597164154,3,0.0,0.0
mnist,C,5,noise,17.161060333251953,0.19265809655189514,0.31492114067077637,0.02925056777894497,3,0.0,0.0
mnist,C,5,resolution,11.120646476745605,1.8049718141555786,0.5071334838867188,0.10736045986413956,3,0.0,0.0
mnist,C,5,salt_pepper,12.131567001342773,0.529333770275116,0.5962571501731873,0.034998033195734024,3,0.0,0.0
mnist,C,5,saturation,32.357322692871094,1.6435201168060303,0.9630135297775269,0.010467649437487125,3,0.0,0.0
cifar10,C2,1,blur,24.6679744720459,5.662743091583252,0.9434066414833069,0.040312983095645905,3,0.0,0.0
cifar10,C2,1,resolution,23.107629776000977,3.9659183025360107,0.882835865020752,0.050380636006593704,3,0.0,0.0
cifar10,C2,1,salt_pepper,19.27338409423828,2.0480916500091553,0.8238064050674438,0.04293298348784447,3,0.0,0.0
cifar10,C2,2,blur,23.74373435974121,4.418142795562744,0.9150587916374207,0.04361850768327713,3,0.0,0.0
cifar10,C2,2,resolution,21.223875045776367,3.091702938079834,0.8185006976127625,0.0676179975271225,3,0.0,0.0
cifar10,C2,2,salt_pepper,17.194427490234375,1.4286632537841797,0.7238960266113281,0.04425666481256485,3,0.0,0.0
cifar10,C2,3,blur,22.05458641052246,3.345133066177368,0.854651153087616,0.05653135105967522,3,0.0,0.0
cifar10,C2,3,resolution,19.34112548828125,2.649899959564209,0.763430118560791,0.0822787880897522,3,0.0,0.0
cifar10,C2,3,salt_pepper,15.4623441696167,1.0309724807739258,0.6087185144424438,0.043637752532958984,3,0.0,0.0
cifar10,C2,4,blur,20.432926177978516,2.7697925567626953,0.7977003455162048,0.07130687683820724,3,0.0,0.0
cifar10,C2,4,resolution,17.785358428955078,2.4716906547546387,0.7286491394042969,0.09208029508590698,3,0.0,0.0
cifar10,C2,4,salt_pepper,14.28207778930664,0.8443660140037537,0.5158904790878296,0.04409470409154892,3,0.0,0.0
cifar10,C2,5,blur,18.92420768737793,2.455846071243286,0.7531248927116394,0.08408302813768387,3,0.0,0.0
cifar10,C2,5,resolution,15.079986572265625,2.4907376766204834,0.6810494661331177,0.10804712772369385,3,0.0,0.0
cifar10,C2,5,salt_pepper,13.352895736694336,0.7394314408302307,0.4368789494037628,0.04474220797419548,3,0.0,0.0
mnist,C2,1,blur,36.55766296386719,1.4880058765411377,0.975919246673584,0.006228169891983271,3,0.0,0.0
mnist,C2,1,resolution,27.176315307617188,1.5114226341247559,0.9269537925720215,0.01670016348361969,3,0.0,0.0
mnist,C2,1,salt_pepper,19.864055633544922,1.1951878070831299,0.8879554271697998,0.022196557372808456,3,0.0,0.0
mnist,C2,2,blur,29.668392181396484,1.2058382034301758,0.9390789866447449,0.012447452172636986,3,0.0,0.0
mnist,C2,2,resolution,21.045886993408203,1.5823160409927368,0.8473181128501892,0.035807885229587555,3,0.0,0.0
mnist,C2,2,salt_pepper,16.933639526367188,0.9559903740882874,0.8195863962173462,0.029703378677368164,3,0.0,0.0
mnist,C2,3,blur,22.340272903442383,1.1984068155288696,0.8194277286529541,0.03654633089900017,3,0.0,0.0
mnist,C2,3,resolution,16.372180938720703,1.2291581630706787,0.7302854657173157,0.05480213090777397,3,0.0,0.0
mnist,C2,3,salt_pepper,14.693066596984863,0.7136021256446838,0.7361279129981995,0.032651469111442566,3,0.0,0.0
mnist,C2,4,blur,18.18025016784668,1.1865499019622803,0.6744004487991333,0.06241026520729065,3,0.0,0.0
mnist,C2,4,resolution,13.894586563110352,1.1913241147994995,0.6452706456184387,0.06976142525672913,3,0.0,0.0
mnist,C2,4,salt_pepper,13.237933158874512,0.5960448384284973,0.6629997491836548,0.03421453759074211,3,0.0,0.0
mnist,C2,5,blur,15.503748893737793,1.253564476966858,0.4959403872489929,0.08473744988441467,3,0.0,0.0
mnist,C2,5,resolution,11.120914459228516,1.8049064874649048,0.5071371793746948,0.10736065357923508,3,0.0,0.0
mnist,C2,5,salt_pepper,12.131564140319824,0.5293362140655518,0.5962540507316589,0.03499796986579895,3,0.0,0.0
